slope_index,base_index,slope,base_threshold,high_success_pct,low_all_success_pct,combined_success_pct,min_success_pct,gap_pct
4,14,0.003,0.75,60.0,60.869565217391305,120.86956521739131,60.0,0.8695652173913047
5,13,0.00375,0.7,60.0,56.52173913043478,116.52173913043478,56.52173913043478,3.4782608695652186
6,12,0.0045,0.65,60.0,52.17391304347826,112.17391304347825,52.17391304347826,7.826086956521742
7,11,0.00525,0.6,60.0,52.17391304347826,112.17391304347825,52.17391304347826,7.826086956521742
3,15,0.00225,0.8,50.0,52.17391304347826,102.17391304347825,50.0,2.173913043478258
8,10,0.006,0.55,50.0,52.17391304347826,102.17391304347825,50.0,2.173913043478258
8,11,0.006,0.6,50.0,52.17391304347826,102.17391304347825,50.0,2.173913043478258
9,10,0.00675,0.55,50.0,52.17391304347826,102.17391304347825,50.0,2.173913043478258
10,9,0.0075,0.5,50.0,52.17391304347826,102.17391304347825,50.0,2.173913043478258
1,16,0.00075,0.85,50.0,47.82608695652174,97.82608695652175,47.82608695652174,2.173913043478258
1,17,0.00075,0.9,50.0,47.82608695652174,97.82608695652175,47.82608695652174,2.173913043478258
3,14,0.00225,0.75,50.0,47.82608695652174,97.82608695652175,47.82608695652174,2.173913043478258
4,13,0.003,0.7,50.0,47.82608695652174,97.82608695652175,47.82608695652174,2.173913043478258
7,12,0.00525,0.65,50.0,47.82608695652174,97.82608695652175,47.82608695652174,2.173913043478258
0,17,0.0,0.9,50.0,43.47826086956522,93.47826086956522,43.47826086956522,6.521739130434781
2,15,0.0015,0.8,50.0,43.47826086956522,93.47826086956522,43.47826086956522,6.521739130434781
2,16,0.0015,0.85,50.0,43.47826086956522,93.47826086956522,43.47826086956522,6.521739130434781
6,13,0.0045,0.7,50.0,43.47826086956522,93.47826086956522,43.47826086956522,6.521739130434781
9,9,0.00675,0.5,50.0,43.47826086956522,93.47826086956522,43.47826086956522,6.521739130434781
10,8,0.0075,0.45,50.0,43.47826086956522,93.47826086956522,43.47826086956522,6.521739130434781
11,7,0.00825,0.4,50.0,43.47826086956522,93.47826086956522,43.47826086956522,6.521739130434781
12,6,0.009,0.35,50.0,43.47826086956522,93.47826086956522,43.47826086956522,6.521739130434781
13,5,0.00975,0.3,50.0,43.47826086956522,93.47826086956522,43.47826086956522,6.521739130434781
14,4,0.0105,0.25,50.0,43.47826086956522,93.47826086956522,43.47826086956522,6.521739130434781
11,8,0.00825,0.45,40.0,52.17391304347826,92.17391304347825,40.0,12.173913043478258
12,7,0.009,0.4,40.0,52.17391304347826,92.17391304347825,40.0,12.173913043478258
5,12,0.00375,0.65,50.0,39.130434782608695,89.13043478260869,39.130434782608695,10.869565217391305
5,14,0.00375,0.75,50.0,39.130434782608695,89.13043478260869,39.130434782608695,10.869565217391305
8,8,0.006,0.45,50.0,39.130434782608695,89.13043478260869,39.130434782608695,10.869565217391305
9,7,0.00675,0.4,50.0,39.130434782608695,89.13043478260869,39.130434782608695,10.869565217391305
15,3,0.01125,0.2,50.0,39.130434782608695,89.13043478260869,39.130434782608695,10.869565217391305
16,1,0.012,0.1,50.0,39.130434782608695,89.13043478260869,39.130434782608695,10.869565217391305
16,2,0.012,0.15,50.0,39.130434782608695,89.13043478260869,39.130434782608695,10.869565217391305
13,6,0.00975,0.35,40.0,47.82608695652174,87.82608695652175,40.0,7.826086956521742
2,14,0.0015,0.75,50.0,34.78260869565217,84.78260869565217,34.78260869565217,15.217391304347828
3,13,0.00225,0.7,50.0,34.78260869565217,84.78260869565217,34.78260869565217,15.217391304347828
3,16,0.00225,0.85,50.0,34.78260869565217,84.78260869565217,34.78260869565217,15.217391304347828
4,15,0.003,0.8,50.0,34.78260869565217,84.78260869565217,34.78260869565217,15.217391304347828
10,6,0.0075,0.35,50.0,34.78260869565217,84.78260869565217,34.78260869565217,15.217391304347828
15,2,0.01125,0.15,50.0,34.78260869565217,84.78260869565217,34.78260869565217,15.217391304347828
14,5,0.0105,0.3,40.0,43.47826086956522,83.47826086956522,40.0,3.4782608695652186
16,3,0.012,0.2,40.0,43.47826086956522,83.47826086956522,40.0,3.4782608695652186
17,2,0.01275,0.15,40.0,43.47826086956522,83.47826086956522,40.0,3.4782608695652186
18,1,0.0135,0.1,40.0,43.47826086956522,83.47826086956522,40.0,3.4782608695652186
1,15,0.00075,0.8,50.0,30.434782608695652,80.43478260869566,30.434782608695652,19.565217391304348
6,14,0.0045,0.75,50.0,30.434782608695652,80.43478260869566,30.434782608695652,19.565217391304348
7,13,0.00525,0.7,50.0,30.434782608695652,80.43478260869566,30.434782608695652,19.565217391304348
8,7,0.006,0.4,50.0,30.434782608695652,80.43478260869566,30.434782608695652,19.565217391304348
9,12,0.00675,0.65,50.0,30.434782608695652,80.43478260869566,30.434782608695652,19.565217391304348
10,11,0.0075,0.6,50.0,30.434782608695652,80.43478260869566,30.434782608695652,19.565217391304348
11,5,0.00825,0.3,50.0,30.434782608695652,80.43478260869566,30.434782608695652,19.565217391304348
11,10,0.00825,0.55,50.0,30.434782608695652,80.43478260869566,30.434782608695652,19.565217391304348
12,10,0.009,0.55,50.0,30.434782608695652,80.43478260869566,30.434782608695652,19.565217391304348
13,9,0.00975,0.5,50.0,30.434782608695652,80.43478260869566,30.434782608695652,19.565217391304348
15,8,0.01125,0.45,50.0,30.434782608695652,80.43478260869566,30.434782608695652,19.565217391304348
16,7,0.012,0.4,50.0,30.434782608695652,80.43478260869566,30.434782608695652,19.565217391304348
19,5,0.01425,0.3,50.0,30.434782608695652,80.43478260869566,30.434782608695652,19.565217391304348
6,10,0.0045,0.55,40.0,39.130434782608695,79.13043478260869,39.130434782608695,0.8695652173913047
7,9,0.00525,0.5,40.0,39.130434782608695,79.13043478260869,39.130434782608695,0.8695652173913047
13,4,0.00975,0.25,40.0,39.130434782608695,79.13043478260869,39.130434782608695,0.8695652173913047
15,4,0.01125,0.25,40.0,39.130434782608695,79.13043478260869,39.130434782608695,0.8695652173913047
17,0,0.01275,0.05,40.0,39.130434782608695,79.13043478260869,39.130434782608695,0.8695652173913047
17,1,0.01275,0.1,40.0,39.130434782608695,79.13043478260869,39.130434782608695,0.8695652173913047
18,0,0.0135,0.05,40.0,39.130434782608695,79.13043478260869,39.130434782608695,0.8695652173913047
18,2,0.0135,0.15,40.0,39.130434782608695,79.13043478260869,39.130434782608695,0.8695652173913047
19,1,0.01425,0.1,40.0,39.130434782608695,79.13043478260869,39.130434782608695,0.8695652173913047
20,0,0.015,0.05,40.0,39.130434782608695,79.13043478260869,39.130434782608695,0.8695652173913047
0,16,0.0,0.85,50.0,26.08695652173913,76.08695652173913,26.08695652173913,23.91304347826087
5,10,0.00375,0.55,50.0,26.08695652173913,76.08695652173913,26.08695652173913,23.91304347826087
6,9,0.0045,0.5,50.0,26.08695652173913,76.08695652173913,26.08695652173913,23.91304347826087
7,8,0.00525,0.45,50.0,26.08695652173913,76.08695652173913,26.08695652173913,23.91304347826087
8,12,0.006,0.65,50.0,26.08695652173913,76.08695652173913,26.08695652173913,23.91304347826087
14,8,0.0105,0.45,50.0,26.08695652173913,76.08695652173913,26.08695652173913,23.91304347826087
15,7,0.01125,0.4,50.0,26.08695652173913,76.08695652173913,26.08695652173913,23.91304347826087
17,6,0.01275,0.35,50.0,26.08695652173913,76.08695652173913,26.08695652173913,23.91304347826087
18,5,0.0135,0.3,50.0,26.08695652173913,76.08695652173913,26.08695652173913,23.91304347826087
20,4,0.015,0.25,50.0,26.08695652173913,76.08695652173913,26.08695652173913,23.91304347826087
4,12,0.003,0.65,40.0,34.78260869565217,74.78260869565217,34.78260869565217,5.217391304347828
5,11,0.00375,0.6,40.0,34.78260869565217,74.78260869565217,34.78260869565217,5.217391304347828
9,8,0.00675,0.45,40.0,34.78260869565217,74.78260869565217,34.78260869565217,5.217391304347828
